Clusters,Accuracy,NMI,ARI,DBCV
17,0.6910299003322259,0.8460751063914964,0.565093056987575,-0.3547139266803798
16,0.7257617728531855,0.8590359616457547,0.649928304675694,-0.13805309662979195
19,0.71875,0.866846360814223,0.6045418443148831,-0.2964430442100353
18,0.7100591715976331,0.8593924288720106,0.6109889919286955,-0.285100701139096
19,0.7467532467532467,0.8926798565998673,0.66526796465241,-0.20082169760770618
17,0.7993920972644377,0.8925035308838213,0.7132900361143802,-0.2930602160366065
16,0.7272727272727273,0.8613200014904602,0.6395791956362655,-0.16252331570225667
18,0.7323076923076923,0.8775805366184504,0.6569649943242394,-0.13375849422784578
19,0.7671641791044777,0.8837247991730568,0.6775960754025475,-0.14946486868995923
19,0.7412790697674418,0.8743761517900401,0.6571425030880674,-0.09278595490317813
19,0.8,0.9015333768634397,0.7443377229553774,-0.1591662949247031
20,0.7739130434782608,0.8809639739209346,0.6814490704578136,-0.09374155049386695
20,0.78125,0.8804940120235166,0.6980204116246133,-0.0656978000732007
19,0.8119402985074626,0.9059536455123233,0.7484534938540097,-0.1593822082757024
18,0.7406417112299465,0.8582247846875063,0.6361974361543783,-0.06666031100602542
17,0.7515337423312883,0.8795723249041913,0.689330619642988,-0.14666692572393142
19,0.7660818713450293,0.8681513634757175,0.6842989311775948,-0.09202900243012294
20,0.7522658610271903,0.8744256341612613,0.6802297931293327,-0.06946644347446913
17,0.7537993920972644,0.8515747932973023,0.651130939055844,-0.14321374996092295
18,0.7515151515151515,0.8692891319490922,0.679145994273761,-0.09372064344702274
