timestamp;tag;duration;package_0;package_1;dram_0;dram_1;nvidia_gpu_0;nvidia_gpu_1;nvidia_gpu_2;nvidia_gpu_3
1683214159.4785259;training;33.10867738723755;2789689941.0;2895439121.0;318486284.0;284182674.0;2080305;6974339;3926333;3373908
1683214192.5986183;training;30.044323921203613;2512592079.0;2708387720.0;275510099.0;280708151.0;1885226;6191628;3348599;3379488
1683214222.6558728;training;29.74164366722107;2497923109.0;2672197749.0;271640071.0;274343994.0;1875105;6114362;3235718;3458507
1683214252.409285;training;30.17795419692993;2505527338.0;2723705246.0;275436001.0;279670842.0;1891560;6072427;3195008;3515257
1683214282.599009;training;29.633400917053223;2464019815.0;2674084280.0;272994503.0;275960500.0;1851621;6063660;3103930;3520516
1683214312.2452462;training;30.22830629348755;2560622351.0;2663699175.0;284191303.0;271294474.0;1895076;6210621;3153747;3605457
1683214342.4838731;training;30.339081287384033;2519271505.0;2739010933.0;273353427.0;284191809.0;1892282;6183817;3211026;3567288
1683214372.836681;training;30.30805993080139;2491074677.0;2758702654.0;268533421.0;287648522.0;1891627;6016024;3270917;3600598
1683214403.1556056;training;33.50735569000244;2703746802.0;3061170325.0;282455840.0;311269106.0;2090399;6699182;3997750;3692628
1683214436.6793468;training;34.89171862602234;2766684873.0;3227715309.0;280890788.0;329785701.0;2161012;6967052;4311395;3735334
1683214471.5815778;training;33.98392629623413;2712656264.0;3138659873.0;277643546.0;321080767.0;2104695;6761751;4225212;3702550
1683214505.5831442;training;34.72724914550781;2690015635.0;3268767206.0;264634139.0;339872195.0;2156986;6903312;4257685;3744058
1683214540.3206825;training;34.19189524650574;2728834384.0;3158081149.0;278566121.0;318183619.0;2116303;6660211;4253976;3645991
1683214574.5231657;training;34.395023345947266;2713411083.0;3198923452.0;273354727.0;329967374.0;2126343;6866835;4288847;3656236
1683214608.9291484;training;34.50102758407593;2746283741.0;3179994788.0;280106877.0;323146848.0;2133916;6894940;4337909;3670229
1683214643.4467022;training;35.642797231674194;2770351673.0;3340984794.0;274575590.0;346795813.0;2195005;7050511;4389880;3784103
1683214679.1024113;training;34.716872692108154;2738289194.0;3225595380.0;273889033.0;330875704.0;2147476;6745915;4331590;3778152
1683214713.8317525;training;34.507675647735596;2736043960.0;3193072758.0;279161153.0;324880873.0;2136468;6870410;4262754;3759800
1683214748.3595154;training;33.95681619644165;2678644937.0;3152369188.0;271791113.0;322561378.0;2102631;6793763;4243007;3690185
1683214782.331028;training;33.67465925216675;2678213847.0;-259027586338.0;273985668.0;317689262.0;2084163;6720071;4261661;3651284
